unique_id,ds,XGBRegressor
recanto_das_emas,2024-02-26,3
recanto_das_emas,2024-02-27,3
recanto_das_emas,2024-02-28,3
recanto_das_emas,2024-02-29,2
recanto_das_emas,2024-03-01,3
recanto_das_emas,2024-03-02,2
recanto_das_emas,2024-03-03,2
recanto_das_emas,2024-03-04,3
recanto_das_emas,2024-03-05,3
recanto_das_emas,2024-03-06,3
recanto_das_emas,2024-03-07,2
recanto_das_emas,2024-03-08,3
recanto_das_emas,2024-03-09,2
recanto_das_emas,2024-03-10,2
recanto_das_emas,2024-03-11,3
recanto_das_emas,2024-03-12,3
recanto_das_emas,2024-03-13,3
recanto_das_emas,2024-03-14,2
recanto_das_emas,2024-03-15,3
recanto_das_emas,2024-03-16,2
recanto_das_emas,2024-03-17,2
recanto_das_emas,2024-03-18,3
riacho_fundo,2024-02-19,2
riacho_fundo,2024-02-20,2
riacho_fundo,2024-02-21,2
riacho_fundo,2024-02-22,2
riacho_fundo,2024-02-23,2
riacho_fundo,2024-02-24,2
riacho_fundo,2024-02-25,2
riacho_fundo,2024-02-26,3
riacho_fundo,2024-02-27,3
riacho_fundo,2024-02-28,2
riacho_fundo,2024-02-29,2
riacho_fundo,2024-03-01,2
riacho_fundo,2024-03-02,2
riacho_fundo,2024-03-03,2
riacho_fundo,2024-03-04,3
riacho_fundo,2024-03-05,3
riacho_fundo,2024-03-06,2
riacho_fundo,2024-03-07,2
riacho_fundo,2024-03-08,2
riacho_fundo,2024-03-09,2
riacho_fundo,2024-03-10,2
riacho_fundo,2024-03-11,3
riacho_fundo,2024-03-12,3
riacho_fundo,2024-03-13,2
riacho_fundo,2024-03-14,2
riacho_fundo,2024-03-15,2
riacho_fundo,2024-03-16,2
riacho_fundo,2024-03-17,2
riacho_fundo,2024-03-18,3
riacho_fundo,2024-03-19,3
riacho_fundo_ii,2024-02-19,2
riacho_fundo_ii,2024-02-20,2
riacho_fundo_ii,2024-02-21,2
riacho_fundo_ii,2024-02-22,2
riacho_fundo_ii,2024-02-23,2
riacho_fundo_ii,2024-02-24,1
riacho_fundo_ii,2024-02-25,1
riacho_fundo_ii,2024-02-26,2
riacho_fundo_ii,2024-02-27,2
riacho_fundo_ii,2024-02-28,2
riacho_fundo_ii,2024-02-29,1
riacho_fundo_ii,2024-03-01,2
riacho_fundo_ii,2024-03-02,1
riacho_fundo_ii,2024-03-03,1
riacho_fundo_ii,2024-03-04,2
riacho_fundo_ii,2024-03-05,2
riacho_fundo_ii,2024-03-06,2
riacho_fundo_ii,2024-03-07,1
riacho_fundo_ii,2024-03-08,2
riacho_fundo_ii,2024-03-09,1
riacho_fundo_ii,2024-03-10,1
riacho_fundo_ii,2024-03-11,2
riacho_fundo_ii,2024-03-12,2
riacho_fundo_ii,2024-03-13,2
riacho_fundo_ii,2024-03-14,1
riacho_fundo_ii,2024-03-15,2
riacho_fundo_ii,2024-03-16,1
riacho_fundo_ii,2024-03-17,1
riacho_fundo_ii,2024-03-18,2
riacho_fundo_ii,2024-03-19,2
samambaia,2024-02-18,5
samambaia,2024-02-19,9
samambaia,2024-02-20,8
samambaia,2024-02-21,8
samambaia,2024-02-22,8
samambaia,2024-02-23,8
samambaia,2024-02-24,6
samambaia,2024-02-25,5
samambaia,2024-02-26,9
samambaia,2024-02-27,8
samambaia,2024-02-28,7
samambaia,2024-02-29,7
samambaia,2024-03-01,8
samambaia,2024-03-02,6
samambaia,2024-03-03,6
samambaia,2024-03-04,10
samambaia,2024-03-05,8
samambaia,2024-03-06,8
samambaia,2024-03-07,7
samambaia,2024-03-08,8
samambaia,2024-03-09,7
samambaia,2024-03-10,6
samambaia,2024-03-11,11
samambaia,2024-03-12,10
samambaia,2024-03-13,8
samambaia,2024-03-14,9
samambaia,2024-03-15,10
samambaia,2024-03-16,8
samambaia,2024-03-17,7
samambaia,2024-03-18,14
